الشركة,الإفتتاح,الأعلى,الأدنى,الإغلاق,التغير,% التغيير,الكمية المتداولة,القيمة المتداولة (ر.س),Sector
اللجين,49.30,50.2,35.05,41.6,-7.7,-15.62,"150,165,671","7,602,208.15",المواد الأساسية
المتقدمة,43.55,46.3,35.9,37.85,-5.7,-13.09,"147,524,333","29,441,156.40",المواد الأساسية
سابك للمغذيات الزراعية,139.80,142.6,106,116.4,-23.4,-16.74,"137,363,466","95,236,043.40",المواد الأساسية
أنابيب,52.89,146,50.56,136.2,83.31,157.52,"135,926,066","7,823,761.00",المواد الأساسية
اليمامة للحديد,23.60,43.5,20.26,35.7,12.1,51.27,"133,051,925","20,968,753.75",المواد الأساسية
أماك,53.20,66.9,48.3,66.2,13,24.44,"130,368,255","46,264,237.40",المواد الأساسية
كيمانول,22.56,24.72,13.7,15.48,-7.08,-31.38,"117,841,206","3,282,603.06",المواد الأساسية
أسمنت نجران,12.56,12.7,8.19,8.84,-3.72,-29.62,"110,055,369","8,534,633.88",المواد الأساسية
الصناعات الكهربائية,2.25,7.2,1.87,6.36,4.11,182.67,"1,880,819,209","49,992,152.16",السلع الرأسمالية
باتك,2.21,3.78,1.73,3.38,1.17,52.94,"1,614,475,400","15,910,509.26",السلع الرأسمالية
أميانتيت,14.35,32.15,11.78,29.3,14.95,104.18,"493,228,539","148,614,400.55",السلع الرأسمالية
الخزف السعودي,23.25,31.05,18.15,29.95,6.7,28.82,"242,932,468","21,948,599.30",السلع الرأسمالية
مسك,17.08,38.1,14.46,34.65,17.57,102.87,"201,713,920","17,721,820.75",السلع الرأسمالية
شاكر,21.07,33.5,16.08,28.75,7.68,36.45,"182,225,635","18,461,401.55",السلع الرأسمالية
تالكو,49.20,73.5,45.7,58.7,9.5,19.31,"144,065,288","52,528,491.40",السلع الرأسمالية
البابطين,21.13,48.85,16.7,43.25,22.12,104.69,"139,409,887","21,680,131.60",السلع الرأسمالية
كابلات الرياض,74.50,122,65.9,111.6,37.1,49.80,"86,269,988","32,002,554.20",السلع الرأسمالية
بوان,35.30,54.5,29.95,40.6,5.3,15.01,"82,360,526","6,887,106.15",السلع الرأسمالية
صادرات,30.45,32.9,21.04,23.72,-6.73,-22.10,"80,668,544","4,535,543.64",السلع الرأسمالية
العمران,42.62,48.7,31,39.1,-3.52,-8.26,"60,108,995","3,351,985.00",السلع الرأسمالية
أسترا الصناعية,95.20,193.8,80,171,75.8,79.62,"54,271,134","31,940,012.80",السلع الرأسمالية
الكابلات السعودية,0.00,109.4,55.5,67.5,67.5,67.50,"26,411,536","1,942,807.70",السلع الرأسمالية
